id_usuario,q1_energia_cognitiva,q2_tension_fisica,q3_rumiacion,q4_activacion_negativa,target_perfil_estres
U-0001,2,1,2,2,Burnout
U-0002,3,1,2,1,Burnout
U-0003,1,1,3,2,Burnout
U-0004,2,1,3,3,Burnout
U-0005,3,2,1,1,Burnout
U-0006,2,3,3,3,Burnout
U-0007,2,3,3,2,Burnout
U-0008,1,2,1,2,Burnout
U-0009,2,2,2,2,Burnout
U-0010,2,3,2,3,Burnout
U-0011,3,3,3,3,Burnout
U-0012,1,1,2,2,Burnout
U-0013,3,2,3,2,Burnout
U-0014,1,1,3,2,Burnout
U-0015,1,1,3,2,Fatiga_Fisica
U-0016,3,1,2,3,Burnout
U-0017,2,2,2,2,Burnout
U-0018,1,3,3,3,Burnout
U-0019,1,1,3,3,Burnout
U-0020,2,1,3,3,Burnout
U-0021,1,1,3,3,Burnout
U-0022,2,1,2,3,Burnout
U-0023,1,2,1,3,Burnout
U-0024,2,1,3,3,Burnout
U-0025,2,4,3,3,Burnout
U-0026,1,3,2,3,Burnout
U-0027,1,1,3,2,Fatiga_Fisica
U-0028,1,4,3,1,Burnout
U-0029,1,1,3,2,Burnout
U-0030,2,1,1,2,Burnout
U-0031,2,3,3,1,Burnout
U-0032,3,1,2,2,Burnout
U-0033,1,4,2,3,Burnout
U-0034,3,3,3,3,Burnout
U-0035,2,1,2,1,Burnout
U-0036,1,3,3,2,Burnout
U-0037,2,3,2,2,Burnout
U-0038,2,3,1,2,Burnout
U-0039,1,4,1,1,Burnout
U-0040,1,1,3,2,Burnout
U-0041,1,2,3,3,Burnout
U-0042,1,2,3,2,Burnout
U-0043,1,2,3,3,Fatiga_Fisica
U-0044,2,1,2,1,Burnout
U-0045,1,2,2,3,Burnout
U-0046,2,2,3,1,Burnout
U-0047,3,3,2,2,Burnout
U-0048,2,3,3,2,Burnout
U-0049,2,3,1,2,Fatiga_Fisica
U-0050,1,2,3,2,Burnout
U-0051,2,1,1,2,Burnout
U-0052,1,2,3,3,Hiperactividad_Ansiosa
U-0053,1,1,2,3,Burnout
U-0054,2,1,3,3,Burnout
U-0055,3,1,3,2,Burnout
U-0056,3,3,2,3,Burnout
U-0057,3,1,3,2,Burnout
U-0058,1,1,2,2,Burnout
U-0059,1,3,2,3,Burnout
U-0060,1,4,2,3,Burnout
U-0061,1,3,2,2,Burnout
U-0062,2,2,3,1,Burnout
U-0063,2,3,3,2,Hiperactividad_Ansiosa
U-0064,2,3,2,3,Burnout
U-0065,1,3,3,1,Burnout
U-0066,2,1,3,2,Burnout
U-0067,1,3,3,2,Burnout
U-0068,2,3,3,3,Burnout
U-0069,2,3,1,3,Burnout
U-0070,2,1,1,3,Burnout
U-0071,2,3,3,3,Burnout
U-0072,1,3,3,3,Burnout
U-0073,1,3,3,2,Burnout
U-0074,1,1,3,2,Burnout
U-0075,2,2,3,3,Burnout
U-0076,1,1,3,2,Burnout
U-0077,1,3,3,2,Burnout
U-0078,1,2,3,1,Burnout
U-0079,1,1,2,2,Burnout
U-0080,2,2,3,3,Fatiga_Fisica
U-0081,2,4,2,2,Burnout
U-0082,2,3,3,3,Burnout
U-0083,2,2,3,3,Burnout
U-0084,3,4,3,3,Burnout
U-0085,1,2,3,1,Burnout
U-0086,2,2,3,2,Burnout
U-0087,2,2,3,1,Burnout
U-0088,1,4,1,1,Burnout
U-0089,2,1,3,1,Burnout
U-0090,1,2,3,3,Burnout
U-0091,1,2,3,3,Burnout
U-0092,1,4,2,2,Burnout
U-0093,2,2,3,3,Burnout
U-0094,1,2,3,1,Burnout
U-0095,1,2,2,2,Burnout
U-0096,1,1,3,3,Burnout
U-0097,2,2,3,2,Burnout
U-0098,3,2,3,3,Burnout
U-0099,1,2,2,2,Burnout
U-0100,1,2,3,2,Burnout
U-0101,1,2,3,2,Burnout
U-0102,1,1,2,2,Burnout
U-0103,1,2,2,3,Burnout
U-0104,2,2,2,3,Burnout
U-0105,3,3,2,3,Burnout
U-0106,2,2,3,3,Burnout
U-0107,1,3,2,1,Hiperactividad_Ansiosa
U-0108,2,1,3,2,Burnout
U-0109,2,2,2,1,Burnout
U-0110,2,2,1,2,Fatiga_Fisica
U-0111,2,4,1,2,Burnout
U-0112,2,3,3,2,Burnout
U-0113,2,2,3,1,Burnout
U-0114,2,3,2,1,Burnout
U-0115,1,2,3,2,Hiperactividad_Ansiosa
U-0116,2,3,3,3,Burnout
U-0117,2,3,3,2,Burnout
U-0118,3,3,1,1,Burnout
U-0119,2,2,2,3,Burnout
U-0120,2,2,1,1,Burnout
U-0121,1,1,3,3,Burnout
U-0122,3,3,2,1,Burnout
U-0123,2,4,2,2,Burnout
U-0124,1,2,2,3,Burnout
U-0125,2,2,3,3,Burnout
U-0126,1,2,3,2,Burnout
U-0127,2,2,2,1,Burnout
U-0128,2,3,2,2,Burnout
U-0129,2,1,3,2,Burnout
U-0130,2,2,1,3,Burnout
U-0131,1,3,3,3,Burnout
U-0132,2,4,2,2,Fatiga_Fisica
U-0133,2,3,3,2,Burnout
U-0134,3,2,3,2,Burnout
U-0135,3,2,2,2,Burnout
U-0136,2,2,2,1,Burnout
U-0137,1,3,1,3,Burnout
U-0138,1,3,3,3,Burnout
U-0139,2,2,3,3,Burnout
U-0140,2,3,2,3,Burnout
U-0141,3,2,3,2,Burnout
U-0142,3,2,2,3,Burnout
U-0143,1,1,3,3,Burnout
U-0144,1,1,3,3,Burnout
U-0145,3,1,3,2,Burnout
U-0146,2,2,3,1,Hiperactividad_Ansiosa
U-0147,2,1,3,1,Burnout
U-0148,1,1,3,3,Burnout
U-0149,1,2,3,2,Burnout
U-0150,2,1,2,2,Burnout
U-0151,2,4,2,3,Burnout
U-0152,2,3,3,1,Burnout
U-0153,3,2,3,2,Burnout
U-0154,2,3,3,3,Burnout
U-0155,3,3,2,2,Burnout
U-0156,1,2,3,1,Burnout
U-0157,3,2,3,3,Burnout
U-0158,2,3,3,2,Burnout
U-0159,1,4,3,3,Fatiga_Fisica
U-0160,2,2,3,1,Burnout
U-0161,2,3,3,3,Burnout
U-0162,1,1,3,2,Burnout
U-0163,1,3,3,2,Burnout
U-0164,3,2,3,1,Burnout
U-0165,2,3,3,3,Burnout
U-0166,1,2,1,2,Burnout
U-0167,1,2,2,3,Burnout
U-0168,2,2,3,2,Burnout
U-0169,1,3,3,3,Burnout
U-0170,1,3,2,1,Burnout
U-0171,2,1,2,3,Burnout
U-0172,3,1,3,1,Burnout
U-0173,1,3,1,1,Burnout
U-0174,1,1,1,3,Burnout
U-0175,2,3,3,1,Burnout
U-0176,1,3,3,2,Burnout
U-0177,1,2,2,3,Burnout
U-0178,1,1,3,1,Burnout
U-0179,2,2,3,2,Burnout
U-0180,1,3,3,3,Burnout
U-0181,1,2,2,2,Burnout
U-0182,1,2,3,2,Burnout
U-0183,1,3,1,1,Burnout
U-0184,2,2,3,2,Burnout
U-0185,2,3,3,3,Burnout
U-0186,1,2,2,3,Burnout
U-0187,2,2,3,2,Burnout
U-0188,3,3,3,2,Hiperactividad_Ansiosa
U-0189,1,2,3,3,Burnout
U-0190,1,3,1,3,Burnout
U-0191,2,2,3,1,Burnout
U-0192,3,2,3,1,Burnout
U-0193,1,2,2,2,Burnout
U-0194,2,2,2,3,Burnout
U-0195,1,1,3,1,Burnout
U-0196,2,3,2,1,Burnout
U-0197,1,2,2,2,Burnout
U-0198,1,3,2,2,Hiperactividad_Ansiosa
U-0199,2,2,3,2,Burnout
U-0200,1,3,3,3,Burnout
U-0201,2,1,3,2,Burnout
U-0202,1,2,2,2,Burnout
U-0203,3,2,3,3,Burnout
U-0204,1,1,3,3,Burnout
U-0205,2,2,3,3,Hiperactividad_Ansiosa
U-0206,2,3,3,3,Burnout
U-0207,1,2,2,2,Fatiga_Fisica
U-0208,1,2,1,3,Fatiga_Fisica
U-0209,2,2,3,2,Burnout
U-0210,1,3,3,2,Burnout
U-0211,1,1,3,2,Burnout
U-0212,1,1,2,2,Burnout
U-0213,1,2,2,2,Burnout
U-0214,2,1,1,3,Burnout
U-0215,2,4,3,2,Burnout
U-0216,1,4,3,2,Fatiga_Fisica
U-0217,1,2,3,3,Burnout
U-0218,2,3,3,2,Burnout
U-0219,1,1,2,3,Burnout
U-0220,1,1,3,1,Burnout
U-0221,3,1,2,3,Burnout
U-0222,1,3,3,3,Burnout
U-0223,1,3,2,2,Burnout
U-0224,1,2,2,3,Burnout
U-0225,1,4,3,2,Burnout
U-0226,2,4,3,3,Burnout
U-0227,2,3,3,1,Burnout
U-0228,1,3,2,3,Burnout
U-0229,3,1,3,2,Fatiga_Fisica
U-0230,1,2,2,1,Burnout
U-0231,1,3,2,1,Hiperactividad_Ansiosa
U-0232,2,1,3,2,Fatiga_Fisica
U-0233,1,1,2,3,Burnout
U-0234,2,1,2,2,Burnout
U-0235,1,3,3,2,Burnout
U-0236,2,2,1,2,Burnout
U-0237,2,2,2,3,Burnout
U-0238,2,1,3,1,Burnout
U-0239,2,2,1,2,Burnout
U-0240,2,3,2,2,Burnout
U-0241,2,3,3,2,Burnout
U-0242,2,4,1,2,Burnout
U-0243,1,2,2,3,Burnout
U-0244,2,2,3,1,Burnout
U-0245,2,2,2,2,Burnout
U-0246,1,3,2,3,Burnout
U-0247,1,2,3,1,Burnout
U-0248,1,2,2,3,Burnout
U-0249,1,3,3,2,Burnout
U-0250,2,1,3,2,Burnout
U-0251,1,1,3,3,Burnout
U-0252,1,3,2,3,Fatiga_Fisica
U-0253,2,4,2,3,Burnout
U-0254,1,3,2,1,Burnout
U-0255,1,2,2,2,Burnout
U-0256,1,4,3,1,Burnout
U-0257,3,2,1,3,Burnout
U-0258,1,1,3,3,Burnout
U-0259,3,3,3,2,Burnout
U-0260,1,3,1,2,Burnout
U-0261,2,3,1,2,Burnout
U-0262,2,3,3,1,Burnout
U-0263,1,3,2,3,Burnout
U-0264,1,4,2,3,Burnout
U-0265,2,2,2,3,Burnout
U-0266,2,2,1,1,Burnout
U-0267,2,3,1,2,Burnout
U-0268,1,3,3,2,Burnout
U-0269,3,1,3,3,Burnout
U-0270,2,3,1,3,Burnout
